ticker,date,neg,neu,pos,compound
AAPL,2020-11-20,0.04707142857142858,0.8895000000000001,0.06342857142857143,0.06972142857142857
AAPL,2020-11-21,0.1204,0.8321999999999999,0.0472,-0.14064
AAPL,2020-11-22,0.286,0.714,0.0,-0.5859
AAPL,2020-11-23,0.09519999999999998,0.7836000000000001,0.12115000000000001,0.050525
AAPL,2020-11-24,0.01923529411764706,0.8822941176470589,0.09847058823529413,0.16645294117647055
AAPL,2020-11-25,0.0232,0.87585,0.10095000000000001,0.12867
AAPL,2020-11-26,0.023999999999999997,0.9011666666666667,0.07483333333333332,0.06979999999999999
AAPL,2020-11-27,0.012,0.8966363636363636,0.09136363636363637,0.16215454545454544
AAPL,2020-11-28,0.0,0.851,0.149,0.08895
AAPL,2020-11-29,0.08775,0.806,0.10625,0.05547500000000001
