,ticker,date,time,headline,neg,neu,pos,compound
0,AAPL,2020-11-29,03:02PM,"Dow Jones Futures: Stock Market Rally Flashes Mixed Signals; Why Apple, Nio, Zoom Video Are Important",0.0,0.893,0.107,0.2023
1,AAPL,2020-11-29,08:45AM,3 Reasons to Sell This Popular Robinhood Stock,0.0,0.682,0.318,0.4215
2,AAPL,2020-11-29,08:00AM,Dont Let Dazzle Brands Deceive You,0.351,0.649,0.0,-0.4019
3,AAPL,2020-11-29,07:00AM,"A Giant Fund Sold Alibaba, Apple, and Intel Stock. Heres What It Bought.",0.0,1.0,0.0,0.0
4,AAPL,2020-11-28,04:11PM,"Barron's Picks And Pans This Week: Apple, Ford, Royal Dutch Shell, Tesla And A Hair Salon Chain",0.0,1.0,0.0,0.0
5,AAPL,2020-11-28,07:47AM,Should Amazon Start Paying a Dividend?,0.0,0.702,0.298,0.1779
6,AAPL,2020-11-27,05:31PM,Apples New MacBooks Have Delighted Critics. Why Investors Should Care Too.,0.132,0.479,0.389,0.6486
7,AAPL,2020-11-27,05:25PM,Tesla Storms the S&P 500. Heres the Bull Case.,0.0,1.0,0.0,0.0
8,AAPL,2020-11-27,03:18PM,Margrethe Vestager Could Be the Most Powerful Woman in Tech. Heres What Shes Planning Next.,0.0,0.819,0.181,0.4754
9,AAPL,2020-11-27,01:13PM,Dow Jones Stocks To Buy And Watch In November 2020: Salesforce Dives On Slack Talks,0.0,1.0,0.0,0.0
10,AAPL,2020-11-27,12:06PM,"Dow Jones Rallies Near Record Highs, As Tesla Races To More All-Time Highs; Snowflake Surges Past Buy Zone",0.0,1.0,0.0,0.0
11,AAPL,2020-11-27,11:54AM,"Dow Jones Barely Higher as Disney Ramps Up Layoffs, Apple Moves Some Production Out of China",0.0,1.0,0.0,0.0
12,AAPL,2020-11-27,10:31AM,"Hot Mutual Fund Loves Facebook, Amazon, Apple, Netflix, Google",0.0,0.565,0.435,0.6597
13,AAPL,2020-11-27,08:00AM,Here's One Way To Buy Apple Stock Ahead Of A Potential Breakout,0.0,1.0,0.0,0.0
14,AAPL,2020-11-27,07:30AM,Is Apple Stock A Buy Right Now? Here's What Its Stock Chart Shows,0.0,1.0,0.0,0.0
15,AAPL,2020-11-27,06:30AM,Intel Stock May Have Hit Rock Bottom. How to Position for a Rally.,0.0,1.0,0.0,0.0
16,AAPL,2020-11-27,02:30AM,Electric Carmakers Are in a Stock Market Bubble,0.0,1.0,0.0,0.0
17,AAPL,2020-11-26,07:00PM,Here's Why Electric Vehicle Stocks Have Exploded This Year,0.0,1.0,0.0,0.0
18,AAPL,2020-11-26,11:10AM,Foxconn could move some iPad and MacBook production to Vietnam,0.0,1.0,0.0,0.0
19,AAPL,2020-11-26,07:06AM,Foxconn to Move Some Production of iPads and MacBooks to Vietnam,0.0,1.0,0.0,0.0
20,AAPL,2020-11-26,07:00AM,10 Stocks to Be Thankful for This Thanksgiving,0.0,0.654,0.346,0.5719
21,AAPL,2020-11-26,06:00AM,The S&P 500 Could Jump 20% Next Year. Three Strategists Explain Why.,0.0,1.0,0.0,0.0
22,AAPL,2020-11-26,04:48AM,Exclusive: Foxconn to shift some Apple production to Vietnam to minimise China risk,0.144,0.753,0.103,-0.1531
23,AAPL,2020-11-25,08:13PM,"'Queen's Gambit', 'Mandalorian' and 'Undoing' top list of Thanksgiving must-binge TV",0.0,0.847,0.153,0.2023
24,AAPL,2020-11-25,05:52PM,3 Blue Chip Stocks to Buy Heading into 2021,0.0,1.0,0.0,0.0
25,AAPL,2020-11-25,04:37PM,"Dow Jones Slips 173 Points After Hitting 30,000; Nasdaq Leads Market",0.0,1.0,0.0,0.0
26,AAPL,2020-11-25,03:42PM,Apple is making strategic moves to head off antitrust fights,0.231,0.769,0.0,-0.4019
27,AAPL,2020-11-25,01:39PM,Dow Jones Falls As Jobless Claims Rise; Slack Stock Explodes On This News,0.0,1.0,0.0,0.0
28,AAPL,2020-11-25,01:08PM,TV shows you should binge watch this holiday weekend,0.0,0.719,0.281,0.481
29,AAPL,2020-11-25,12:14PM,"Dow Jones Slips Below 30,000 As Jobless Claims Weigh; Apple Rises But These EV Stocks Skid",0.0,1.0,0.0,0.0
30,AAPL,2020-11-25,12:00PM,"Dow Jones Falls From Record Highs; Tesla Reverses Amid Recall, While Chinese EV Stocks Li Auto, Nio, Xpeng Tumble",0.0,1.0,0.0,0.0
31,AAPL,2020-11-25,11:33AM,"Apple on Track for Strong Holiday Sales for AirPods, IPhone 12, Analyst Says",0.0,0.647,0.353,0.7184
32,AAPL,2020-11-25,11:31AM,"Down 17%, Is Apple Stock a Buy?",0.0,1.0,0.0,0.0
33,AAPL,2020-11-25,11:03AM,"Dow Falls as Bulls Take Breather After Record Run to 30,000",0.0,1.0,0.0,0.0
34,AAPL,2020-11-25,10:20AM,Deere Earnings Greeted With Cheer As Company Cites Improved Equipment Demand,0.088,0.412,0.5,0.7906
35,AAPL,2020-11-25,10:10AM,"Dow Tops 30,000: 5 Stocks Driving the ETF",0.0,0.645,0.355,0.5106
36,AAPL,2020-11-25,09:21AM,HP CEO: COVID-19 pandemic has reinforced our consumer business,0.0,1.0,0.0,0.0
37,AAPL,2020-11-25,08:18AM,"Dow Jones Futures: Dow Makes History, As Tesla, Nio Set Record Highs; Hot IPO Stocks Corsair, Palantir Skyrocket",0.0,1.0,0.0,0.0
38,AAPL,2020-11-25,08:00AM,Here's Why Apple Is My No. 1 Dividend Paying Stock for the Next 20 Years,0.145,0.855,0.0,-0.296
39,AAPL,2020-11-25,06:30AM,Equal-Weighted Indexes Are Winningand Thats a Good Sign for Stocks,0.0,0.734,0.266,0.4404
40,AAPL,2020-11-25,06:02AM,"Dow 30,000: Morning Brief",0.0,1.0,0.0,0.0
41,AAPL,2020-11-25,05:25AM,"Exclusive: India import hurdles hit Apple iPhone, Xiaomi devices from China, say sources",0.0,0.889,0.111,0.128
42,AAPL,2020-11-25,01:30AM,South Korea Unveils AI Chip to Maintain Semiconductor Leadership,0.0,1.0,0.0,0.0
43,AAPL,2020-11-24,10:36PM,Apple Seeks Patent For Windshield Crack Detection Tech,0.0,1.0,0.0,0.0
44,AAPL,2020-11-24,10:36PM,Venture Capitalists Discuss the Future of Gaming,0.0,1.0,0.0,0.0
45,AAPL,2020-11-24,09:44PM,Xiaomi Slides After Internet Services Slowdown Mars Sales Surge,0.0,1.0,0.0,0.0
46,AAPL,2020-11-24,07:57PM,"Apples Industry Leading Product Line to Keep on Shining, Says 5-Star Analyst",0.0,1.0,0.0,0.0
47,AAPL,2020-11-24,06:25PM,"Dow Closes Above 30,000 at a New Record High",0.0,1.0,0.0,0.0
48,AAPL,2020-11-24,03:05PM,Apple Inc. (AAPL): Are Hedge Funds Chasing Momentum Stocks?,0.0,1.0,0.0,0.0
49,AAPL,2020-11-24,02:08PM,"Dow Tops 30,000 For First Time Ever",0.0,0.645,0.355,0.5106
50,AAPL,2020-11-24,12:04PM,15 Largest Electronics Companies in the World,0.0,1.0,0.0,0.0
51,AAPL,2020-11-24,12:03PM,"Dow Jones Jumps 500 Points, As Trump Agrees To Biden Transition; Nio, Tesla Race To Record Highs",0.0,0.899,0.101,0.2023
52,AAPL,2020-11-24,10:15AM,My Favorite Dividend Stock Didn't Start Out That Way,0.0,0.727,0.273,0.4588
53,AAPL,2020-11-24,10:14AM,Be Like Buffett and Wager on Pfizer. Heres How to Do It With Options.,0.0,0.839,0.161,0.3612
54,AAPL,2020-11-24,09:51AM,Lookback: Wedgewood Partners 2019 Apple Inc (AAPL) Thesis,0.0,1.0,0.0,0.0
55,AAPL,2020-11-24,08:32AM,Apple (AAPL) Seeks Tough Data Protection in Google Lawsuit,0.327,0.673,0.0,-0.34
56,AAPL,2020-11-24,08:28AM,"Dow Jones Futures: Latest Bitcoin Play In Buy Zone As Tesla, Nio, Xpeng Fly; Apple Stock Breaks Support",0.0,0.758,0.242,0.6249
57,AAPL,2020-11-24,06:00AM,Why It Isnt Ludicrous to Think of Honeywell as the Tesla of Big Industrial Stocks,0.0,0.869,0.131,0.2755
58,AAPL,2020-11-24,05:49AM,Is Black Friday a Good Time to Buy an Apple Watch?,0.0,0.756,0.244,0.4404
59,AAPL,2020-11-24,01:09AM,"Huaweis Phone Market Share to Slump to 4% in 2021, Says TrendForce",0.0,0.833,0.167,0.296
60,AAPL,2020-11-23,11:34PM,Apple Exempts Virtual Events From Paying 30% App Store Cut Through June,0.16,0.84,0.0,-0.2732
61,AAPL,2020-11-23,09:21PM,Apple Chief Security Officer Indicted Over Allegedly Bribing Officials With iPads To Obtain Gun Permits,0.135,0.73,0.135,0.0
62,AAPL,2020-11-23,05:23PM,Apple's security chief accused of bribery in California gun-permit probe,0.175,0.635,0.19,0.0516
63,AAPL,2020-11-23,05:15PM,Apple's security chief accused of bribery in California gun-permit probe,0.175,0.635,0.19,0.0516
64,AAPL,2020-11-23,04:51PM,Apple Security Head Charged With Bribery for Gun Licenses,0.333,0.476,0.19,-0.2023
65,AAPL,2020-11-23,04:42PM,"Dow Jones Surges More Than 300 Points, Led By Boeing, Walt Disney, Chevron; What's Wrong With Apple Stock?",0.154,0.846,0.0,-0.4767
66,AAPL,2020-11-23,03:01PM,"Dow Jones Adds To Gains, Nasdaq Turns Positive; Tesla Stock At New High",0.0,0.647,0.353,0.7184
67,AAPL,2020-11-23,02:50PM,Dow Jones Soars on More Vaccine News; Walmart and Apple Stocks Sink,0.0,1.0,0.0,0.0
68,AAPL,2020-11-23,12:15PM,"Dow Jones Leads As Stock Market Trims Gains; Apple Falls But Tesla, Nio Surge",0.0,0.844,0.156,0.34
69,AAPL,2020-11-23,12:14PM,Apple Stock Is Falling Because the Price Already Reflects iPhone 12 Demand,0.237,0.763,0.0,-0.2732
70,AAPL,2020-11-23,12:01PM,"Dow Jones Jumps 300 Points On Vaccine News, But Apple Slides; Tesla Surges To Record High, While Nio Races Higher",0.0,1.0,0.0,0.0
71,AAPL,2020-11-23,10:31AM,Apple 4-Day Shopping Event Starts Friday; Gift Cards Offered,0.0,0.734,0.266,0.4404
72,AAPL,2020-11-23,08:46AM,Digital marketing firms file UK competition complaint against Google's Privacy Sandbox,0.18,0.82,0.0,-0.296
73,AAPL,2020-11-23,08:39AM,Dow Climbs as Value Stocks Race Higher on Positive Vaccine News,0.0,0.6,0.4,0.7184
74,AAPL,2020-11-23,08:19AM,Google Ad Changes Targeted by Rivals in U.K. Complaint,0.216,0.784,0.0,-0.296
75,AAPL,2020-11-23,08:11AM,Dow Jones Futures Rise On Latest Coronavirus News; Qualcomm Near Buy Point In Stock Market Rally; Apple Looks Tired,0.139,0.861,0.0,-0.4404
76,AAPL,2020-11-23,07:00AM,"5G Stocks To Buy And Watch: Apple, Wireless Firms, Chip Makers, Infrastructure Plays",0.0,0.857,0.143,0.25
77,AAPL,2020-11-23,07:00AM,Foxconn Plant Championed by Trump Lands Google Server Contract,0.0,0.784,0.216,0.296
78,AAPL,2020-11-23,05:48AM,"Gartner: Q3 smartphone sales down 5.7% to 366M, stemming Covid-19 declines earlier this year",0.0,1.0,0.0,0.0
79,AAPL,2020-11-23,12:27AM,"Apple, Microsoft Work Together To Bring Xbox Series X Controller Support For iPhone, iPad",0.0,0.816,0.184,0.4019
80,AAPL,2020-11-22,05:22PM,Stock Market Rally: Qualcomm Near Buy Point; Apple Looks Tired As Dow Futures Loom,0.286,0.714,0.0,-0.5859
81,AAPL,2020-11-21,01:26PM,Apple Is Trying To 'Water Down' Bill Against Forced Labor In China: Washington Post,0.188,0.812,0.0,-0.4588
82,AAPL,2020-11-21,11:00AM,Apple Cuts the Little Guys a Break. Will It Be Enough?,0.196,0.804,0.0,-0.296
83,AAPL,2020-11-21,08:30AM,3 Incredibly Cheap 5G Tech Stocks,0.0,1.0,0.0,0.0
84,AAPL,2020-11-21,06:45AM,Microsoft's Growth Engine is Firing on All Cylinders,0.218,0.545,0.236,0.0516
